DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1997-12-01,101225.0,103625.0,100925.0,103250.0,22225,1718.540995,57.040836,2140.071429,0.035867,0.019278,99675.0,99363.0,0.0
1997-12-02,103300.0,103500.0,101925.0,102500.0,18404,2145.347194,55.800676,2096.357143,-0.007264,0.017314,103250.0,99675.0,0.0
1997-12-03,102500.0,103075.0,101513.0,101875.0,23925,2276.667499,54.725082,2132.071429,-0.006098,0.016362,102500.0,103250.0,1.0
1997-12-04,102700.0,104500.0,102388.0,104075.0,22867,2519.343415,57.825646,2127.642857,0.021595,0.016732,101875.0,102500.0,0.0
1997-12-05,103575.0,105063.0,103025.0,104875.0,19006,2675.547034,58.904471,1987.5,0.007687,0.016296,104075.0,101875.0,1.0
1997-12-08,106875.0,107075.0,105850.0,106325.0,18966,2906.045697,60.844603,2027.714286,0.013826,0.016172,104875.0,104075.0,0.0
1997-12-09,106450.0,106625.0,105250.0,105800.0,22382,2971.220906,59.759536,1945.571429,-0.004938,0.015166,106325.0,104875.0,-1.0
1997-12-10,105450.0,105488.0,103538.0,103725.0,33449,2860.432084,55.524001,1989.285714,-0.019612,0.016089,105800.0,106325.0,-1.0
1997-12-11,101988.0,102438.0,101213.0,101488.0,24563,2543.237752,51.22454,2069.642857,-0.021567,0.017011,103725.0,105800.0,1.0
1997-12-12,101600.0,103138.0,101600.0,102588.0,28291,2312.747122,53.186476,1980.357143,0.010839,0.016839,101488.0,103725.0,0.0
1997-12-15,102688.0,103250.0,101725.0,101750.0,51803,1977.434639,51.505014,1975.857143,-0.008169,0.017037,102588.0,101488.0,1.0
1997-12-16,102900.0,104925.0,102375.0,104813.0,55989,1958.177668,56.911299,2049.071429,0.030103,0.017643,101750.0,102588.0,0.0
1997-12-17,104750.0,105875.0,104263.0,104763.0,51084,1818.568849,56.80323,2081.142857,-0.000477,0.015623,104813.0,101750.0,0.0
1997-12-18,105150.0,105625.0,104425.0,105013.0,23538,1702.86031,57.240648,2090.071429,0.002386,0.015625,104763.0,104813.0,-1.0
1997-12-19,103025.0,103250.0,102025.0,102363.0,12646,1346.158074,51.322222,2021.357143,-0.025235,0.016786,105013.0,104763.0,1.0
1997-12-22,102750.0,104363.0,101563.0,104150.0,15000,1138.324937,54.803732,2108.857143,0.017457,0.016914,102363.0,105013.0,0.0
1997-12-23,104000.0,104763.0,103450.0,104250.0,14860,976.909864,54.994387,2091.071429,0.00096,0.016913,104150.0,102363.0,1.0
1997-12-29,104450.0,107750.0,104125.0,107750.0,10282,1117.09224,61.163478,2162.5,0.033573,0.01689,104250.0,104150.0,0.0
1997-12-30,108375.0,108650.0,106563.0,106963.0,13474,1145.330722,59.260346,2166.0,-0.007304,0.017104,107750.0,104250.0,1.0
1998-01-02,108000.0,110075.0,107738.0,109925.0,18475,1477.478204,63.852661,2231.142857,0.027692,0.017538,106963.0,107750.0,1.0
1998-01-05,109313.0,111475.0,108925.0,111300.0,17772,1892.906994,65.731744,2315.071429,0.012509,0.01759,109925.0,106963.0,-1.0
1998-01-06,111500.0,111500.0,109300.0,109763.0,20617,1994.185111,61.905639,2310.642857,-0.01381,0.018055,111300.0,109925.0,0.0
1998-01-07,109400.0,110675.0,108813.0,109200.0,24759,2013.469509,60.497082,2264.214286,-0.005129,0.016736,109763.0,111300.0,-1.0
1998-01-08,109750.0,110738.0,107563.0,107925.0,26852,1827.028518,57.300941,2373.142857,-0.011676,0.016887,109200.0,109763.0,-1.0
1998-01-09,107450.0,108350.0,106375.0,106738.0,39028,1550.928858,54.386162,2405.285714,-0.010998,0.017037,107925.0,109200.0,-1.0
1998-01-12,102450.0,104050.0,101913.0,103950.0,25993,1048.035043,48.125135,2523.142857,-0.02612,0.017489,106738.0,107925.0,0.0
1998-01-13,105625.0,105900.0,104150.0,104475.0,26277,785.828526,49.339563,2547.285714,0.005051,0.017444,103950.0,106738.0,0.0
1998-01-14,106175.0,106175.0,104050.0,104163.0,22998,492.771724,48.614834,2613.357143,-0.002986,0.017174,104475.0,103950.0,0.0
1998-01-15,103775.0,104750.0,103625.0,104200.0,20084,248.389653,48.711335,2480.285714,0.000355,0.01715,104163.0,104475.0,1.0
1998-01-16,104975.0,106250.0,104888.0,106200.0,18345,175.794993,53.76414,2426.714286,0.019194,0.017092,104200.0,104163.0,1.0
1998-01-19,107025.0,108213.0,106813.0,107825.0,21897,288.223938,57.369761,2476.714286,0.015301,0.016551,106200.0,104200.0,0.0
1998-01-20,107525.0,108700.0,107250.0,108350.0,25513,363.523075,58.479347,2321.357143,0.004869,0.016463,107825.0,106200.0,-1.0
1998-01-21,108838.0,108838.0,106750.0,106863.0,29814,235.946368,54.197333,2321.428571,-0.013724,0.016678,108350.0,107825.0,0.0
1998-01-22,105825.0,106638.0,104750.0,106438.0,25165,97.160405,52.986526,2250.071429,-0.003977,0.015521,106863.0,108350.0,0.0
